Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,Specimen_voucher,SRA Study,sub_species,tissue
SRR24300331,WGS,297,27676400487,PRJNA961733,SAMN34367404,Model organism or animal,Golden Retriever,11781420587,"UNIVERSITY OF CALIFORNIA, DAVIS",public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",adult,SRX20095649,Illumina HiSeq 4000,5182,PAIRED,RANDOM,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-10-24T00:00:00Z,2023-04-25T14:45:00Z,1,5182,male,5182,SRP434392,familiaris,blood
SRR24300332,WGS,297,23647697841,PRJNA961733,SAMN34367403,Model organism or animal,Golden Retriever,10119413161,"UNIVERSITY OF CALIFORNIA, DAVIS",public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",adult,SRX20095648,Illumina HiSeq 4000,2397,PAIRED,RANDOM,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-10-24T00:00:00Z,2023-04-25T17:31:00Z,1,2397,male,2397,SRP434392,familiaris,blood
SRR24300333,WGS,297,25298546911,PRJNA961733,SAMN34367402,Model organism or animal,Golden Retriever,10927206217,"UNIVERSITY OF CALIFORNIA, DAVIS",public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",adult,SRX20095647,Illumina HiSeq 4000,5354,PAIRED,RANDOM,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-10-24T00:00:00Z,2023-04-25T19:05:00Z,1,5354,female,5354,SRP434392,familiaris,blood
SRR24300334,WGS,149,14288787556,PRJNA961733,SAMN34367401,Model organism or animal,Golden Retriever,5678369670,"UNIVERSITY OF CALIFORNIA, DAVIS",public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",adult,SRX20095646,Illumina HiSeq 4000,8315,PAIRED,RANDOM,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-10-24T00:00:00Z,2023-04-25T17:36:00Z,1,8315,female,8315,SRP434392,familiaris,blood
SRR24300335,WGS,297,27798557460,PRJNA961733,SAMN34367400,Model organism or animal,Golden Retriever,11854116420,"UNIVERSITY OF CALIFORNIA, DAVIS",public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX20095645,Illumina HiSeq 4000,2268,PAIRED,RANDOM,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-10-24T00:00:00Z,2023-04-25T14:45:00Z,1,2268,male,2268,SRP434392,familiaris,blood
SRR24300345,WGS,149,13079280308,PRJNA961733,SAMN34367399,Model organism or animal,Golden Retriever,5175915566,"UNIVERSITY OF CALIFORNIA, DAVIS",public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX20095635,Illumina HiSeq 4000,8468,PAIRED,RANDOM,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-10-24T00:00:00Z,2023-04-25T15:35:00Z,1,8468,female,8468,SRP434392,familiaris,blood
SRR24300349,WGS,302,70326657554,PRJNA961733,SAMN34367413,Model organism or animal,Golden Retriever,24576627593,"UNIVERSITY OF CALIFORNIA, DAVIS",public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX20095631,Illumina NovaSeq 6000,4198,PAIRED,RANDOM,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-10-24T00:00:00Z,2023-04-25T16:19:00Z,1,4198,female,4198,SRP434392,familiaris,blood
SRR24300350,WGS,302,73507910152,PRJNA961733,SAMN34367412,Model organism or animal,Golden Retriever,25762885736,"UNIVERSITY OF CALIFORNIA, DAVIS",public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",adult,SRX20095630,Illumina NovaSeq 6000,4132,PAIRED,RANDOM,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-10-24T00:00:00Z,2023-04-25T16:51:00Z,1,4132,female,4132,SRP434392,familiaris,blood
SRR24300356,WGS,149,17318019354,PRJNA961733,SAMN34367398,Model organism or animal,Golden Retriever,6822051494,"UNIVERSITY OF CALIFORNIA, DAVIS",public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",adult,SRX20095624,Illumina HiSeq 4000,8471,PAIRED,RANDOM,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-10-24T00:00:00Z,2023-04-25T17:02:00Z,1,8471,female,8471,SRP434392,familiaris,blood
SRR24300357,WGS,297,39969221201,PRJNA961733,SAMN34367397,Model organism or animal,Golden Retriever,16807092391,"UNIVERSITY OF CALIFORNIA, DAVIS",public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX20095623,Illumina HiSeq 4000,2857,PAIRED,RANDOM,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-10-24T00:00:00Z,2023-04-25T15:07:00Z,1,2857,female,2857,SRP434392,familiaris,blood
