Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR24300331_trim.1	3.574487193347011	41.0	148.48527725973483	0.0	68203268.0
SRR24300331_trim.2	3.5780762107477244	40.0	143.2013781781199	0.0	78500303.0
SRR24300332_trim.1	3.86049358910563	41.0	147.06386709941563	0.0	74520184.0
SRR24300332_trim.2	3.5782863115410066	41.0	142.3664935529413	0.0	74520184.0
SRR24300333_trim.1	5.0839486469916295	43.0	146.63131491879034	9.090909090909092	79667612.0
SRR24300333_trim.2	4.489397841744335	43.0	141.92924960522225	9.090909090909092	79667612.0
SRR24300335_trim.1	4.015078451211863	41.0	147.1471426262957	0.0	87992673.0
SRR24300335_trim.2	3.747557985915435	40.0	142.79815163701187	0.0	87992673.0
SRR24300349_trim.1	14.19530942191686	47.0	146.35919921522893	9.090909090909092	93959629.0
SRR24300350_trim.1	11.619197658200335	46.0	146.72416096422754	9.090909090909092	107868315.0
SRR24300350_trim.2	11.37692508516156	46.0	147.08852464026648	9.090909090909092	123615323.0
SRR24300357_trim.2	4.362042921496837	41.0	143.16563988171748	0.0	127120744.0
