../../results/04_alignQC/sa/.bam	../../results/04_alignQC/sa/SRR24300331	../../results/04_alignQC/sa/SRR24300332	../../results/04_alignQC/sa/SRR24300333	../../results/04_alignQC/sa/SRR24300334	../../results/04_alignQC/sa/SRR24300335	../../results/04_alignQC/sa/SRR24300349	../../results/04_alignQC/sa/SRR24300350	../../results/04_alignQC/sa/SRR24300356	../../results/04_alignQC/sa/SRR24300357
	175342530	149040368	159335224		175985346	418899408	436901332		254241488
	0	0	0		0	0	0		0
	175342530	149040368	159335224		175985346	418899408	436901332		254241488
	1	1	1		1	1	1		1
	87671265	74520184	79667612		87992673	209449704	218450666		127120744
	87671265	74520184	79667612		87992673	209449704	218450666		127120744
	171050370	145430641	153573283		171716152	416243510	434526163		244488244
	170448334	144899946	152696092		171120288	415054146	433460218		243166346
	4292160	3609727	5761941		4269194	2655898	2375169		9753244
	167204500	142076472	144186898		167971704	297640740	336949360		237473242
	175342530	149040368	159335224		175985346	418899408	436901332		254241488
	313487	271302	352502		313617	34525370	30321392		596950
	3536450	3207694	5039245		3620212	24298273	19025786		6044699
	0	0	0		0	0	0		0
	0	0	0		0	0	0		0
	1119464	932090	2681480		1093376	41368662	32970069		2034552
	25423975873	21576929071	22997790997		25524091995	61277482647	64034273799		36920042511
	12898252234	10962543356	11685268146		12951596737	30562675870	31959364039		18713017456
	12525723639	10614385715	11312522851		12572495258	30714806777	32074909760		18207025055
	24800473590	21053542219	22164313642		24903810406	60932959923	63725992817		35499641401
	24629429610	20909202589	21915476413		24733015286	60197712843	63141795238		35144810062
	0	0	0		0	0	0		0
	43565954	37784715	48758911		43724443	4827754946	4298456431		82860035
	122433152	106172422	129811731		122847186	3069253879	2500515452		180995125
	4.971010e-03	5.077784e-03	5.923290e-03		4.966931e-03	5.098622e-02	3.960159e-02		5.149981e-03
	144	144	144		145	146	146		145
	147	147	147		147	146	146		147
	143	142	142		143	147	147		143
	150	150	150		150	151	151		150
	150	150	150		150	151	151		150
	150	150	150		150	151	151		150
	38.9	38.9	38.8		38.9	35.6	35.6		39.0
	331.7	349.9	325.9		334.6	440.1	370.4		327.6
	37.5	44.3	41.3		41.4	836.0	113.0		40.0
	83746564	71188814	72256157		84115297	147809420	167681783		118913561
	72138	71546	126855		73832	2105360	1728864		110946
	48625	38418	264133		42279	1600954	1571905		68377
	1356840	1151195	3700901		1328736	56011339	45747557		2490289
	95.4	95.3	90.5		95.4	71.1	77.1		93.4
